ChannelTitle,Title,Published_date,Views,Likes,Comments
freecodecamp org,web applications everybody course dr chuck teaches html php sql css javascript,2021-11-04,707192,18413,381
freecodecamp org,build three django projects python course,2021-02-05,236131,4981,194
freecodecamp org,pointers c c full course,2020-12-29,3973241,81348,1784
freecodecamp org,data analysis python part numerical computing numpy live course,2020-08-29,126045,1950,50
freecodecamp org,python project tutorial first python project,2020-08-19,191505,5464,169
freecodecamp org,kubernetes developer guide orchestrating containers,2018-11-09,17955,306,6
freecodecamp org,intro github pages,2018-08-27,32281,608,4
freecodecamp org,testing node js mocha,2018-07-06,80446,837,29
freecodecamp org,populating nextjs pages wordpress data via graphql part p live coding jesse,2017-12-15,2033,40,2
freecodecamp org,vs beau teaches javascript,2017-03-06,45415,873,42
freecodecamp org,computer basics variables work code,2015-07-17,25820,0,7
blue brown,anyone might know links shorts work,2023-12-21,243666,18943,520
freecodecamp org,machine learning javascript ml js,2024-08-14,35475,1448,36
freecodecamp org,code squid game javascript game using three js tutorial beginners,2021-11-09,358500,10167,258
freecodecamp org,build shopping list command line python basics sam,2020-08-25,27522,716,20
freecodecamp org,deep learning crash course beginners,2020-07-30,797338,19013,311
freecodecamp org,using parcel bundler react,2018-09-26,11856,267,29
freecodecamp org,reviewing merging pull requests live coding jesse,2018-01-23,1688,45,0
freecodecamp org,react working api data live coding jesse,2017-07-13,3811,38,6
freecodecamp org,heap data structure max min beau teaches javascript,2017-05-13,56867,793,47
alex analyst,become data analyst completely free,2023-01-31,1167513,39756,1132
alex analyst,interviewing tina huang fellow youtuber data enthusiast,2022-10-13,9534,336,21
blue brown,call scalars,2024-01-06,236748,18222,79
blue brown,quaternions rotation explained interactively,2018-10-26,1227816,29710,792
